molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,bao_endpoint,bao_format,bao_label,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_pref_name,parent_molecule_chembl_id,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,target_chembl_id,target_organism,target_pref_name,target_tax_id,type,units,uo_units,value,standard_value_nm,standard_units_standardized,mol_weight,log_p,hbd,hba,tpsa,rotatable_bonds,aromatic_rings,is_valid_molecule,activity_class,is_active,pic50
CHEMBL122890,C=CCSS/C=C/C[S+]([O-])CC=C,IC50,3400.0,nM,5.47,2323371.0,[],CHEMBL1008495,Inhibition of COX2,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL1151260,J Nat Prod,2005.0,"{""bei"": ""23.33"", ""le"": ""0.57"", ""lle"": ""2.47"", ""sei"": ""23.71""}",AJOENE,CHEMBL122890,0.0,http://www.openphacts.org/units/Nanomolar,789248.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,3.4,3400.0,nM,234.41099999999997,3.002200000000002,0,3,23.06,8,0,true,Low Activity,0,5.468521082957744
CHEMBL224612,O=S(=O)(Nc1ccncc1Sc1ccccc1)C(F)(F)F,IC50,530.0,nM,6.28,1842586.0,[],CHEMBL916302,Inhibition of COX2 in human whole blood assessed as inhibition of LPS-stimulated PGE2 production,B,BAO_0000190,BAO_0000221,tissue-based format,CHEMBL1149303,J Med Chem,2004.0,"{""bei"": ""18.77"", ""le"": ""0.41"", ""lle"": ""2.79"", ""sei"": ""10.63""}",,CHEMBL224612,0.0,http://www.openphacts.org/units/Nanomolar,630641.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.53,530.0,nM,334.344,3.494300000000001,1,4,59.06,4,2,true,Moderately Active,1,6.27572413039921
CHEMBL270293,COc1cc(NCc2cccs2)nc(-c2ccc(S(C)(=O)=O)cc2)n1,IC50,0.4,nM,9.40,12415598.0,[],CHEMBL947228,Inhibition of human COX2 in human whole blood,B,BAO_0000190,BAO_0000221,tissue-based format,CHEMBL1143107,Bioorg Med Chem,2012.0,"{""bei"": ""25.03"", ""le"": ""0.51"", ""lle"": ""6.17"", ""sei"": ""11.58""}",,CHEMBL270293,0.0,http://www.openphacts.org/units/Nanomolar,1793936.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,nM,UO_0000065,0.4,0.4,nM,375.47500000000014,3.229300000000002,1,7,81.17999999999999,6,3,true,Highly Active,1,9.397940008672037
CHEMBL3309949,CN1C/C(=C\c2ccc(N(C)C)cc2[N+](=O)[O-])C(=O)/C(=C/c2ccc(N(C)C)cc2[N+](=O)[O-])C1,IC50,9120.0,nM,5.04,15062375.0,[],CHEMBL3370271,Inhibition of human recombinant COX2 using arachidonic acid substrate assessed as PGE2 production ELISA method after 2 mins,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL3352402,Bioorg Med Chem,2014.0,"{""bei"": ""10.83"", ""le"": ""0.20"", ""lle"": ""1.42"", ""sei"": ""4.46""}",,CHEMBL3309949,0.0,http://www.openphacts.org/units/Nanomolar,2261195.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,9.12,9120.0,nM,465.5100000000002,3.616500000000003,0,8,113.07,6,2,true,Low Activity,0,5.0400051616715835
CHEMBL348087,Cc1nc2sc(-c3ccc(S(C)(=O)=O)cc3)c(-c3ccccc3)n2n1,IC50,10000.0,nM,5.00,737058.0,[],CHEMBL766722,In vivo ability to inhibit Prostaglandin G/H synthase 2 in human whole blood assay,B,BAO_0000190,BAO_0000218,organism-based format,CHEMBL1129864,Bioorg Med Chem Lett,1997.0,"{""bei"": ""13.53"", ""le"": ""0.27"", ""lle"": ""1.16"", ""sei"": ""7.77""}",,CHEMBL348087,0.0,http://www.openphacts.org/units/Nanomolar,307112.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,10.0,10000.0,nM,369.47100000000006,3.836720000000004,0,6,64.33,3,4,true,Low Activity,0,5.0
CHEMBL3322393,CC1CN(c2ccc(S(C)(=O)=O)cc2)C(c2ccc(Cl)cc2)=N1,IC50,10000.0,nM,,15028807.0,[],CHEMBL3365665,Inhibition of human recombinant COX2 using fluorometric substrate by fluorescent inhibitor screening assay,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL3352168,Eur J Med Chem,2014.0,,,CHEMBL3322393,0.0,http://www.openphacts.org/units/Nanomolar,2242587.0,>,1.0,1.0,>,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,10.0,10000.0,nM,348.85499999999996,3.3988000000000023,0,4,49.74,3,2,true,Low Activity,0,5.0
CHEMBL320273,CC1(C)OC(=O)C(Oc2cnccn2)=C1c1ccc(S(C)(=O)=O)cc1,IC50,3800.0,nM,5.42,765644.5,[],CHEMBL884351,Inhibitory potency against PGE-2 production in the human whole blood (HWB COX-2) assay,B,BAO_0000190,BAO_0000221,tissue-based format,CHEMBL1131878,Bioorg Med Chem Lett,1999.0,"{""bei"": ""15.04"", ""le"": ""0.30"", ""lle"": ""3.41"", ""sei"": ""5.68""}",,CHEMBL320273,0.0,http://www.openphacts.org/units/Nanomolar,203852.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,3.8,2175.0,nM,360.3910000000001,2.0056,0,7,95.44999999999999,4,2,true,Low Activity,0,5.662540738709343
CHEMBL173072,CN1C(O)=C(C(=O)Nc2ccccc2Cl)c2cc(Cl)ccc2S1(=O)=O,IC50,8.0,nM,8.10,1230570.0,[],CHEMBL762905,Concentration of drug that causes a 50% decrease in the maximal inhibition of Prostaglandin G/H synthase 2 activity as measured by PGE2 production('+' indicates 90-110% inhibition),B,BAO_0000190,BAO_0000357,single protein format,CHEMBL1129978,J Med Chem,1997.0,"{""bei"": ""20.28"", ""le"": ""0.44"", ""lle"": ""4.61"", ""sei"": ""9.34""}",,CHEMBL173072,0.0,http://www.openphacts.org/units/Nanomolar,348750.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.008,8.0,nM,399.25500000000017,3.4928000000000017,2,4,86.71000000000001,2,2,true,Highly Active,1,8.096910013008056
CHEMBL281014,COC(=O)c1cc2cc(S(C)(=O)=O)ccc2n1Cc1ccc([N+](=O)[O-])cc1,IC50,20000.0,nM,,103698.0,[],CHEMBL766726,Inhibition of PGE-2 generation in LPS-stimulated human monocytes (Prostaglandin G/H synthase 2 cell assay),F,BAO_0000190,BAO_0000219,cell-based format,CHEMBL1136052,J Med Chem,2002.0,,,CHEMBL281014,0.0,http://www.openphacts.org/units/Nanomolar,47019.0,>,1.0,1.0,>,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,20.0,20000.0,nM,388.4010000000001,2.7879000000000014,0,7,108.51000000000002,5,3,true,Low Activity,0,4.698970004336019
CHEMBL343198,CS(=O)(=O)Nc1cc2c(cc1Sc1cccc(F)c1)C(=O)CC2,IC50,10000.0,nM,,269461.0,[],CHEMBL760080,In vitro inhibition of prostaglandin G/H synthase 2 expressed in human osteosarcoma 143 cells,B,BAO_0000190,BAO_0000219,cell-based format,CHEMBL1128209,J Med Chem,1995.0,,,CHEMBL343198,0.0,http://www.openphacts.org/units/Nanomolar,282987.0,>,1.0,1.0,>,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,10.0,10000.0,nM,351.42400000000015,3.4773000000000023,1,4,63.24,4,2,true,Low Activity,0,5.0
CHEMBL5282806,CS(=O)(=O)c1ccc(C(=O)/C=C/c2ccc(F)c(F)c2)cc1,IC50,180.0,nM,6.75,25035073.0,"[{""comments"": null, ""relation"": ""="", ""result_flag"": 0, ""standard_relation"": ""="", ""standard_text_value"": null, ""standard_type"": ""TIME_Lower"", ""standard_units"": ""min"", ""standard_value"": ""5.0"", ""text_value"": null, ""type"": ""TIME_Lower"", ""units"": ""min"", ""value"": ""5.0""}, {""comments"": null, ""relation"": ""="", ""result_flag"": 0, ""standard_relation"": ""="", ""standard_text_value"": null, ""standard_type"": ""TIME_Upper"", ""standard_units"": ""min"", ""standard_value"": ""10.0"", ""text_value"": null, ""type"": ""TIME_Upper"", ""units"": ""min"", ""value"": ""10.0""}]",CHEMBL5243075,Inhibition of COX-2 (unknown origin) using arachidonic acid as substrate incubated for 5 to 10 mins by fluorometric analysis,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL5241111,RSC Med Chem,2022.0,"{""bei"": ""20.92"", ""le"": ""0.42"", ""lle"": ""3.48"", ""sei"": ""13.17""}",,CHEMBL5282806,0.0,http://www.openphacts.org/units/Nanomolar,3920561.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.18,180.0,nM,322.332,3.264400000000002,0,3,51.21,4,2,true,Moderately Active,1,6.744727494896693
CHEMBL1916952,O=C(NS(=O)(=O)c1ccccc1)c1cncc(C(=O)NS(=O)(=O)c2ccccc2)c1,IC50,7900.0,nM,5.10,7941365.0,[],CHEMBL1918778,Inhibition of COX2 by chemiluminescent enzyme assay,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL1914339,Bioorg Med Chem,2011.0,"{""bei"": ""11.45"", ""le"": ""0.23"", ""lle"": ""3.78"", ""sei"": ""3.66""}",,CHEMBL1916952,0.0,http://www.openphacts.org/units/Nanomolar,1559478.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,7.9,7900.0,nM,445.4780000000002,1.319,2,7,139.36999999999998,6,3,true,Low Activity,0,5.102372908709558
CHEMBL156053,CC(C)(C)n1ncc(-c2ccc(S(C)(=O)=O)cc2)c(-c2ccccc2)c1=O,IC50,33000.0,nM,,261434.5,[],CHEMBL762902,In vitro inhibitory activity against prostaglandin G/H synthase 2 stably transfected in Human whole blood (HWB) cell,B,BAO_0000190,BAO_0000221,tissue-based format,CHEMBL1136575,Bioorg Med Chem Lett,2003.0,,,CHEMBL156053,0.0,http://www.openphacts.org/units/Nanomolar,304911.0,>,1.0,1.0,>,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,33.0,19000.0,nM,382.4850000000001,3.735800000000003,0,5,69.03,3,3,true,Low Activity,0,4.72124639904717
CHEMBL19056,CC1(O)OC(=O)C(c2ccsc2)=C1c1ccc(S(C)(=O)=O)cc1,IC50,110.0,nM,6.96,995872.5,[],CHEMBL767761,Inhibitory of human Prostaglandin G/H synthase 2 expressed in CHO cells.,B,BAO_0000190,BAO_0000219,cell-based format,CHEMBL1136665,Bioorg Med Chem Lett,2003.0,"{""bei"": ""19.86"", ""le"": ""0.41"", ""lle"": ""4.63"", ""sei"": ""8.63""}",,CHEMBL19056,0.0,http://www.openphacts.org/units/Nanomolar,22597.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.11,12055.0,nM,350.4170000000001,2.3277,1,6,80.67,3,2,true,Low Activity,0,4.9188327852865275
CHEMBL316040,COc1ccc(-n2nc(CCC(=O)N(C)O)cc2-c2ccc(Cl)cc2)cc1,IC50,2850.0,nM,5.54,24355185.0,"[{""comments"": null, ""relation"": ""="", ""result_flag"": 0, ""standard_relation"": ""="", ""standard_text_value"": null, ""standard_type"": ""TIME"", ""standard_units"": ""hr"", ""standard_value"": ""0.2"", ""text_value"": null, ""type"": ""Time"", ""units"": ""min"", ""value"": ""12.0""}]",CHEMBL5033143,Inhibition of human COX-2 using arachidonic acid as substrate preincubated for 10 mins followed by substrate addition and measured after 2 mins by EIA,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL5032505,J Med Chem,2021.0,"{""bei"": ""14.37"", ""le"": ""0.28"", ""lle"": ""1.57"", ""sei"": ""8.20""}",TEPOXALIN,CHEMBL316040,0.0,http://www.openphacts.org/units/Nanomolar,3773463.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,2.85,2850.0,nM,385.851,3.9815000000000023,1,5,67.59,6,3,true,Low Activity,0,5.545155139991489
CHEMBL4173674,O=C1COCCN1c1ccc(Nc2nc(Cl)nc(NCc3ccccc3)n2)cc1,IC50,60000.0,nM,4.22,18410736.0,[],CHEMBL4151937,Inhibition of human COX2 pre-incubated for 10 mins before arachidonic acid addition and measured after 2 mins by EIA method,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL4145689,J Med Chem,2018.0,"{""bei"": ""10.28"", ""le"": ""0.20"", ""lle"": ""0.98"", ""sei"": ""4.58""}",,CHEMBL4173674,0.0,http://www.openphacts.org/units/Nanomolar,3055662.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,60.0,60000.0,nM,410.8650000000001,3.243900000000002,2,7,92.27,6,3,true,Low Activity,0,4.221848749616356
CHEMBL271103,CC(C)(C)c1cc(NCc2ccccc2)nc(-c2ccc(S(C)(=O)=O)cc2)n1,IC50,10649764.4,nM,,12415601.0,[],CHEMBL3062548,Inhibition of COX2 in Homo sapiens (human) whole blood,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL3046334,Med Chem Res,2012.0,,,CHEMBL271103,0.0,http://www.openphacts.org/units/Nanomolar,1794460.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,pIC50,,UO_0000065,1.97266,93.9,nM,395.52800000000013,4.456700000000003,1,5,71.95,5,3,true,Highly Active,1,7.027334407733888
CHEMBL320986,Cc1ccncc1-c1nc(C(F)(F)F)cn1-c1ccc(S(C)(=O)=O)cc1,IC50,54000.0,nM,4.27,172188.0,[],CHEMBL655565,Inhibitory activity against human Prostaglandin G/H synthase 2,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL1133620,J Med Chem,2000.0,"{""bei"": ""11.19"", ""le"": ""0.22"", ""lle"": ""0.60"", ""sei"": ""6.58""}",,CHEMBL320986,0.0,http://www.openphacts.org/units/Nanomolar,203196.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,54.0,54000.0,nM,381.3790000000001,3.665020000000003,0,5,64.85,3,3,true,Low Activity,0,4.267606240177031
CHEMBL383092,Cc1ccc(-c2ncc(Cl)cc2-c2ccc([S+](C)[O-])cc2)cn1,IC50,3700.0,nM,5.43,1726831.0,[],CHEMBL863256,Inhibition of COX2 in human whole blood,B,BAO_0000190,BAO_0000221,tissue-based format,CHEMBL1148495,Bioorg Med Chem Lett,2006.0,"{""bei"": ""15.84"", ""le"": ""0.32"", ""lle"": ""0.92"", ""sei"": ""11.12""}",,CHEMBL383092,0.0,http://www.openphacts.org/units/Nanomolar,486922.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,3.7,3700.0,nM,342.85100000000006,4.509820000000004,0,3,48.84,3,3,true,Low Activity,0,5.431798275933004
CHEMBL4470659,CS(=O)(=O)c1ccc(-c2noc(N)c2-c2ccc(F)cc2)cc1,IC50,50000.0,nM,,19362655.0,[],CHEMBL4423152,Inhibition of human COX2 using arachidonic acid as substrate by colorimetric assay,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL4422618,Eur J Med Chem,2019.0,,,CHEMBL4470659,0.0,http://www.openphacts.org/units/Nanomolar,3240636.0,>,1.0,1.0,>,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,50.0,50000.0,nM,332.356,3.133400000000001,1,5,86.19,3,3,true,Low Activity,0,4.30102999566398
CHEMBL94939,CS(=O)(=O)c1ccc(-c2cc(Cl)cnc2-c2ccccn2)cc1,IC50,68.0,nM,7.17,1074994.5,[],CHEMBL762908,In vitro inhibition of PGE-2 produced by arachidonic acid-stimulated CHO cells stably expressing human Prostaglandin G/H synthase 2,B,BAO_0000190,BAO_0000219,cell-based format,CHEMBL1130609,Bioorg Med Chem Lett,1998.0,"{""bei"": ""20.79"", ""le"": ""0.43"", ""lle"": ""3.30"", ""sei"": ""11.96""}",,CHEMBL94939,0.0,http://www.openphacts.org/units/Nanomolar,173680.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.068,2934.0,nM,344.82300000000004,3.8675000000000033,0,4,59.92,3,3,true,Low Activity,0,5.532539890492735
CHEMBL3915359,CN1CCN(C(=O)Cn2cnc(-c3ccccc3)c2-c2ccccc2)CC1,IC50,10230.0,nM,4.99,16827571.0,[],CHEMBL3874648,Inhibition of human recombinant COX-2 assessed as reduction in oxidation of TMPD using arachidonic acid as substrate preincubated for 5 mins followed by substrate and TMPD addition measured after 5 mins by colorimetric assay,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL3872255,Bioorg Med Chem,2017.0,"{""bei"": ""13.84"", ""le"": ""0.25"", ""lle"": ""2.00"", ""sei"": ""12.06""}",,CHEMBL3915359,0.0,http://www.openphacts.org/units/Nanomolar,2813655.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,10.23,10230.0,nM,360.4610000000001,2.991100000000001,0,4,41.370000000000005,4,3,true,Low Activity,0,4.990124366287839
CHEMBL4558162,Cc1ccc2c(c1)nc(CCN1C(=O)c3cccc4cccc(c34)C1=O)n2-c1ccncc1,IC50,10000.0,nM,,19052193.0,[],CHEMBL4355260,Inhibition of COX2 (unknown origin),B,BAO_0000190,BAO_0000357,single protein format,CHEMBL4354796,J Med Chem,2019.0,,,CHEMBL4558162,0.0,http://www.openphacts.org/units/Nanomolar,3178590.0,>,1.0,1.0,>,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,10.0,10000.0,nM,432.4830000000001,4.720820000000004,0,5,68.09,4,5,true,Low Activity,0,5.0
CHEMBL3402600,CCCNC(=O)Cc1cc(-c2ccc(S(N)(=O)=O)cc2)n(-c2cccc(F)c2)c1C,IC50,5780.0,nM,5.24,15163733.0,[],CHEMBL3407036,Inhibition of human recombinant COX2 using PGEH2 as substrate after 10 mins by EIA,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL3400072,Bioorg Med Chem,2015.0,"{""bei"": ""12.20"", ""le"": ""0.24"", ""lle"": ""1.93"", ""sei"": ""5.56""}",,CHEMBL3402600,0.0,http://www.openphacts.org/units/Nanomolar,2283899.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,5.78,5780.0,nM,429.5170000000001,3.307920000000001,2,4,94.19,7,3,true,Low Activity,0,5.2380721615794705
